casnumber,chemicalname,proposed_parent_cas_dashed,proposed_parent_casnumber,proposed_parent_name,proposed_match_rationale,confidence,notes
12360508,Bromine Chloride,12360-50-8,12360508,Bromine chloride,"direct - no simpler parent: covalent interhalogen reagent (BrCl), distinct reactive chemical, not decomposed into bromide/chloride ions, consistent with the established Cyanogen bromide/chloride precedent for covalent pseudohalogens",high,
12627133,Silicate,12627-13-3,12627133,Silicate,"direct - no simpler parent: simple inorganic oxyanion (silicate is generally treated as a nutrient/background water-chemistry ion rather than a toxic trace-element driver, unlike Boron/Arsenic/Vanadium/Chromium oxyanions)",medium,
13071119,Dexpropranolol hydrochloride;(2R)-1-[(Naphthalen-1-yl)oxy]-3-[(propan-2-yl)amino]propan-2-ol--hydrogen chloride (1/1),NA,NA,"Dexpropranolol (free base, the (R)-enantiomer of Propranolol)",HCl salt of organic base -> free base,medium,Free-base CAS for this specific enantiomer not confidently verified from memory; recommend confirming before use.
13106768,"(T-4)Molybdate (MoO42-), Diammonium",7439-98-7,7439987,Molybdenum,"diammonium molybdate -> Mo element (ammonium is the spectator counterion; molybdenum is the toxicologically distinct metal in this oxyanion, consistent with Sodium molybdate -> Molybdenum and Ammonium chromate -> Chromium reasoning earlier in this batch)",medium,
13138459,Nickel bis(nitrate);Nickel(2+) dinitrate,7440-02-0,7440020,Nickel,Ni nitrate -> Ni element (heavy-metal cation overrides the nitrate nutrient-ion convention),high,
13150000,Sodium lauryltrioxyethylene sulfate;Sodium 2-{2-[2-(dodecyloxy)ethoxy]ethoxy}ethyl sulfate,13150-00-0,13150000,Sodium lauryltrioxyethylene sulfate,direct - no simpler parent: alkyl ether sulfate surfactant,high,
13171216,Phosphamidon;3-Chloro-4-(diethylamino)-4-oxobut-2-en-2-yl dimethyl phosphate,13171-21-6,13171216,Phosphamidon,direct - no simpler parent: registered organophosphate insecticide active ingredient,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
13316706,"N,N,N-Triethyl-1-hexadecanaminium, Bromide",13316-70-6,13316706,"Cetyltriethylammonium bromide (N,N,N-triethyl-1-hexadecanaminium bromide)",direct - no simpler parent: quaternary ammonium salt,high,
13356086,Fenbutatin oxide;Hexakis(2-methyl-2-phenylpropyl)distannoxane,13356-08-6,13356086,Fenbutatin oxide,"direct - no simpler parent: registered organotin acaricide active ingredient (itself the distannoxane oxide-bridged dimer form, no established simpler reference congener)",high,
13450903,Gallium chloride  (GaCl3),7440-55-3,7440553,Gallium,Ga chloride -> Ga element,high,
13453071,Gold chloride,7440-57-5,7440575,Gold,Au chloride -> Au element,high,
13463677,Titanium oxide (TiO2),7440-32-6,7440326,Titanium,Ti oxide -> Ti element,high,
13464374,Trisodium arsenite;Trisodium arsorite,7440-38-2,7440382,Arsenic,"Na arsenite -> As element (documented speciation convention: arsenic oxyanions resolve to elemental Arsenic; sodium is the spectator counterion, consistent with the established Sodium arsenite -> Arsenic precedent)",high,
13510491,Beryllium sulfate;Beryllium sulfate,7440-41-7,7440417,Beryllium,Be salt -> Be element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
13537183,Thulium chloride (TmCl3);Thulium trichloride,7440-30-4,7440304,Thulium,Tm chloride -> Tm element,high,
13674845,"1-Chloro-2-propanol 2,2',2''-phosphate",13674-84-5,13674845,Tris(1-chloro-2-propyl) phosphate,direct - no simpler parent: phosphate ester flame retardant (consistent with established phosphate-ester-stays-direct convention),high,
13674878,"Tris(1,3-dichloro-2-propyl) phosphate;Tris(1,3-dichloropropan-2-yl) phosphate",13674-87-8,13674878,"Tris(1,3-dichloro-2-propyl) phosphate",direct - no simpler parent: phosphate ester flame retardant (same convention as other phosphate esters),high,
13863417,Bromine chloride,13863-41-7,13863417,Bromine chloride,"direct - no simpler parent: covalent interhalogen reagent (BrCl), same reasoning as the other Bromine chloride entry in this batch",medium,This appears to duplicate the chemical name 'Bromine Chloride' registered under a different CAS (12360508) earlier in this same batch; flag for reviewer to check whether these should be merged/deduplicated.
13907476,Chromate,7440-47-3,7440473,Chromium,"Chromate ion -> Cr element (metal oxyanion convention, paralleling Arsenate -> Arsenic and Sodium vanadate -> Vanadium; hexavalent chromium guideline values are expressed as total Cr)",medium,
14124675,Selenite,7782-49-2,7782492,Selenium,"Selenite ion -> Se element (metalloid oxyanion convention, paralleling Arsenite -> Arsenic)",medium,
14124686,Selenate,7782-49-2,7782492,Selenium,Selenate ion -> Se element (same reasoning as Selenite),medium,
14214892,"Potassium (2,4-dichlorophenoxy)acetate;Potassium (2,4-dichlorophenoxy)acetate",94-75-7,94757,"2,4-D","potassium salt -> 2,4-D acid parent (phenoxy herbicide convention)",high,
14265442,Phosphate;Phosphate,14265-44-2,14265442,Phosphate,"direct - no simpler parent: documented nutrient ion, already the parent form",high,
14338320,2-Chloro-1-methylpyridinium iodide;2-Chloro-1-methylpyridin-1-ium iodide,14338-32-0,14338320,2-Chloro-1-methylpyridinium iodide,"direct - no simpler parent: quaternary pyridinium salt, cation permanently charged",high,
14507198,Lanthanum hydroxide (La(OH)3),7439-91-0,7439910,Lanthanum,"La hydroxide -> La element (consistent with the established Ca/Mg/K/Na hydroxide-collapses-to-element precedent, extended to a lanthanide)",high,
14611520,N-Methyl-N-[(2R)-1-phenylpropan-2-yl]prop-2-yn-1-amine--hydrogen chloride,14611-51-9,14611519,Selegiline (L-deprenyl),"HCl salt of organic base -> free base; structure matches Selegiline (N-methyl-N-propargyl-(R)-amphetamine), a registered MAO-B inhibitor pharmaceutical",high,
14644612,Zirconium(IV) sulfate;Zirconium(4+) disulfate,7440-67-7,7440677,Zirconium,Zr salt -> Zr element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
14797650,Nitrite,14797-65-0,14797650,Nitrite,"direct - no simpler parent: documented nutrient ion, already the parent form, consistent with how Nitrate is treated",high,
14808798,Sulfate;Sulfate,14808-79-8,14808798,Sulfate,"direct - no simpler parent: documented nutrient ion, already the parent form",high,
14959865,"7-Dodecen-1-ol, acetate, (7Z)-;(7Z)-7-Dodecen-1-yl acetate",14959-86-5,14959865,(7Z)-7-Dodecen-1-yl acetate,"direct - no simpler parent: simple ester, insect pheromone component",high,
15165794,Potassium 1-naphthaleneacetate;Potassium (naphthalen-1-yl)acetate,86-87-3,86873,1-Naphthaleneacetic acid (NAA),potassium salt -> NAA acid parent (plant growth regulator ester/salt convention),high,
15263522,"Cartap hydrochloride;S,S'-[2-(Dimethylamino)propane-1,3-diyl] dicarbamothioate--hydrogen chloride (1/1)",15263-53-3,15263533,Cartap,HCl salt of organic base -> free base (registered carbamate/dithiocarbamate insecticide active ingredient),medium,Free-base CAS recalled from memory (sequential registration pattern relative to the HCl salt's own CAS 15263-52-2); recommend confirming before use.
15307796,"Diclofenac sodium;Sodium [2-(2,6-dichloroanilino)phenyl]acetate",15307-86-5,15307865,Diclofenac,"sodium salt of a carboxylic-acid drug -> free acid (consistent with the established phenoxy-herbicide-salt convention extended to other carboxylic-acid actives, e.g. Fenac sodium salt -> Fenac)",high,
15467206,Nitrilotriacetic acid disodium salt;Disodium [(carboxylatomethyl)(carboxymethyl)amino]acetate,15467-20-6,15467206,Nitrilotriacetic acid disodium salt,direct - no simpler parent: sodium salt of a chelating tricarboxylic acid (same convention as Nitrilotriacetic acid sodium salt earlier in this batch),high,
15502746,Arsenite (AsO3),7440-38-2,7440382,Arsenic,AsO3- ion -> As element (documented speciation convention: arsenic oxyanions resolve to elemental Arsenic),high,Reused/upgraded from Stage 2b pilot's deliberate trap case (originally medium confidence); now high confidence given the explicit documented speciation_convention.md policy.
15507138,"Sulfuric acid, monobutyl ester;Butyl hydrogen sulfate",15507-13-8,15507138,Butyl hydrogen sulfate,"direct - no simpler parent: alkyl sulfate ester (acid form), consistent with established Lauryl sulfate/Tetradecyl hydrogen sulfate precedent",high,
15584040,Arsenate (AsO43-),7440-38-2,7440382,Arsenic,AsO4(3-) ion -> As element (documented speciation convention: arsenic oxyanions resolve to elemental Arsenic),high,
16058267,"1-Methyltetradecylamine, Acetate",NA,NA,1-Methyltetradecylamine (free base),"acetate salt of organic base -> free base (consistent with established acetate-salt-of-amine precedent, e.g. Dehydroabietylamine acetate -> Dehydroabietylamine in Part 1)",medium,Free-base CAS not confidently verified from memory; recommend confirming before use.
16068465,Potassium phosphate,14265-44-2,14265442,Phosphate,K phosphate -> phosphate ion (documented nutrient-ion convention),high,
16142271,"5-Amino-3-(4-morpholinyl)-1,2,3-oxadiazolium chloride (1:1)",16142-27-1,16142271,"5-Amino-3-(4-morpholinyl)-1,2,3-oxadiazolium chloride","direct - no simpler parent: quaternary heteroaromatic (oxadiazolium) salt, cation permanently charged (consistent with established quaternary onium salt convention)",medium,"Structure resembles a nitric-oxide-donor sydnonimine-type pharmacophore (cf. Molsidomine/linsidomine family); classified by the general cationic-heterocycle-stays-direct rule rather than a specific identified free-base relationship, since the oxadiazolium ring is intrinsically charged."
16721805,Sodium sulfide;Sodium hydrosulfide,7783-06-4,7783064,Hydrogen sulfide,Na sulfide/hydrosulfide -> sulfide ion equivalent (Hydrogen sulfide is the established reference analyte for sulfide/hydrosulfide speciation in this lookup),medium,
16887006,Chloride,16887-00-6,16887006,Chloride,"direct - no simpler parent: documented simple ion, already the parent form",high,
16941121,Chloroplatinic acid;Platinum(4+) hydrogen chloride (1/2/6),7440-06-4,7440064,Platinum,"chloroplatinic acid -> Pt element (heavy-metal complex acid, hydrogen/chloride are spectators)",high,
16984488,Fluoride ion,16984-48-8,16984488,Fluoride,"direct - no simpler parent: documented simple ion, already the parent form",high,
17375416,Ferrous sulfate monohydrate;Iron(2+) sulfate--water (1/1/1),7439-89-6,7439896,Iron,Fe sulfate (hydrate) -> Fe element (heavy-metal cation overrides the sulfate nutrient-ion convention; water of crystallisation does not change the resolution),high,
17757709,"5,6-Dihydro-2-methyl-N-phenyl-1,4-oxathiin-3-carboxamide 4-oxide",17757-70-9,17757709,Oxycarboxin,"direct - no simpler parent: registered fungicide active ingredient (Oxycarboxin); the 4-oxide (sulfoxide) is intrinsic to this distinct compound's structure, not a separable salt",high,
18181801,Bromopropylate;Propan-2-yl bis(4-bromophenyl)(hydroxy)acetate,18181-80-1,18181801,Bromopropylate,"direct - no simpler parent: registered acaricide active ingredient (itself the isopropyl ester, consistent with the Chlorobenzilate precedent)",high,
18282105,Tin oxide (SnO2),7440-31-5,7440315,Tin,Sn oxide -> Sn element,high,
18496258,Sulfide,7783-06-4,7783064,Hydrogen sulfide,"Sulfide ion -> Hydrogen sulfide (the established reference analyte for sulfide/hydrosulfide speciation in this lookup, consistent with how Sodium/Calcium/Ammonium sulfide resolve elsewhere in this batch)",medium,
18684112,"1-Octadecanaminium, N,N,N-trimethyl-, methyl sulfate (1:1);N,N,N-Trimethyl-1-octadecanaminium methyl sulfate",18684-11-2,18684112,"N,N,N-Trimethyl-1-octadecanaminium methyl sulfate (stearalkonium methosulfate)","direct - no simpler parent: quaternary ammonium salt, cation permanently charged (methyl sulfate is simply the counterion, consistent with the quaternary-ammonium-halide convention)",high,
19480434,MCPA-butotyl;2-Butoxyethyl (4-chloro-2-methylphenoxy)acetate,94-74-6,94746,MCPA,2-butoxyethyl ester -> MCPA acid parent (phenoxy herbicide ester convention),high,
19750959,"Chlordimeform hydrochloride;N'-(4-Chloro-2-methylphenyl)-N,N-dimethylmethanimidamide--hydrogen chloride (1/1)",6164-98-3,6164983,Chlordimeform,HCl salt -> free base,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
19984577,"1-Tricyclo[3.3.1.13,7]dec-1-yl-pyridinium bromide",19984-57-7,19984577,1-Adamantylpyridinium bromide,"direct - no simpler parent: quaternary pyridinium salt (adamantyl-substituted), cation permanently charged",high,
20711108,(Z)-11-Tetradecenyl acetate;(11Z)-Tetradec-11-en-1-yl acetate,20711-10-8,20711108,(11Z)-Tetradec-11-en-1-yl acetate,"direct - no simpler parent: simple ester, insect pheromone component",high,
21221294,"19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol, (17alpha)-17-Acetate",21221-29-4,21221294,Ethynylestradiol 17-acetate,"direct - no simpler parent: registered/active synthetic estrogen steroid ester (acetate ester is the active form, consistent with the Cyproterone acetate/Trenbolone acetate precedent)",medium,
21351393,"Urea, sulfate (1:1);Sulfuric acid--urea (1/1)",57-13-6,5713,Urea,"sulfate salt of urea (weakly basic organic compound) -> free urea, consistent with the established sulfate-salt-of-organic-base -> free-base convention (e.g. 8-Hydroxyquinoline sulfate -> 8-Hydroxyquinoline)",medium,Urea sulfate is also used industrially as a distinct fertilizer/agricultural product; flag for reviewer if it should instead stay direct as itself.
21645512,Aluminum hydroxide (Al(OH)3),7429-90-5,7429905,Aluminium,Al hydroxide -> Al element (consistent with established Aluminium chloride/oxide -> Aluminium precedent in Part 1),high,
22248799,"Z-Tetrachlorvinphos;(Z)-2-Chloro-1-(2,4,5-trichlorophenyl)ethenyl dimethyl phosphate",22248-79-9,22248799,Tetrachlorvinphos,direct - no simpler parent: registered organophosphate insecticide active ingredient (Z-isomer descriptor of Tetrachlorvinphos),high,
23422539,Formetanate hydrochloride;3-{[(Dimethylamino)methylidene]amino}phenyl methylcarbamate--hydrogen chloride (1/1),22259-30-9,22259309,Formetanate,HCl salt of organic base -> free base (registered carbamate insecticide active ingredient),medium,Free-base CAS recalled from memory; recommend confirming before use.
23526025,O-5'-Deoxyadenosin-5'-yl-(5'fwdarw4)-O-alpha-D-glucopyranosyl-(1fwdarw2)-D-allaric acid 4-(dihydrogen phosphate),NA,NA,[unidentified complex nucleoside-sugar-phosphate natural product],"UNCERTAIN - needs human review: complex nucleoside/sugar-phosphate natural product structure not confidently identified; phosphate ester appears intrinsic to a distinct registered substance rather than a simple separable salt, but the specific common name/registration could not be verified from memory",low,Recommend a PubChem/ChemIDplus lookup of CAS 23526-02-5 to confirm identity before accepting a final determination.
23583484," 8-Bromoadenosine, Cyclic 3',5'-(hydrogen phosphate)",23583-48-4,23583484,"8-Bromoadenosine 3',5'-cyclic monophosphate (8-Br-cAMP)","direct - no simpler parent: distinct, well-characterized cyclic-nucleotide biochemical research reagent (8-Br-cAMP); the cyclic phosphate is intrinsic to this compound's identity, not a separable salt",high,
23616797,"Benzenemethanaminium, N,N,N-tributyl-, chloride (1:1);N-Benzyl-N,N-dibutylbutan-1-aminium chloride",23616-79-7,23616797,Benzyltributylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
23696288,"N-(2-Hydroxyethyl)-3-methyl-2-quinoxalinecarboxamide, 1,4-Dioxide",23696-28-8,23696288,Olaquindox,"direct - no simpler parent: registered veterinary antimicrobial growth-promoter (Olaquindox); the 1,4-dioxide (di-N-oxide) is intrinsic to this quinoxaline-dioxide antibiotic class and required for its activity, not a separable salt",high,
24307264,"Mepiquat chloride;1,1-Dimethylpiperidin-1-ium chloride",24307-26-4,24307264,Mepiquat chloride,"direct - no simpler parent: quaternary ammonium salt, registered plant growth regulator (itself the standard registered salt form, consistent with the Chlormequat chloride precedent)",high,
24980594,(Z)-2-Butenedioic acid polymer with ethenyl acetate,24980-59-4,24980594,(Z)-2-Butenedioic acid polymer with ethenyl acetate (maleic acid-vinyl acetate copolymer),"direct - no simpler parent: distinct copolymer substance; a 'polymer with' compound is a single defined macromolecular substance, not a mixture of separable components, unlike 'mixt. with'/'compd. with' formulations",medium,
25059807,"Benazolin-ethyl;Ethyl (4-chloro-2-oxo-1,3-benzothiazol-3(2H)-yl)acetate",3813-05-6,3813056,Benazolin,"ethyl ester -> Benazolin acid parent (registered benzothiazole-acetic-acid herbicide, analogous to the phenoxy-acid ester convention)",medium,
25268615,"N,N,N-Tripropyl-1-hexadecanaminium, Bromide",25268-61-5,25268615,"N,N,N-Tripropyl-1-hexadecanaminium bromide (cetyltripropylammonium bromide)",direct - no simpler parent: quaternary ammonium salt,high,
25389940,Kanamycin sulfate,59-01-8,59018,Kanamycin,"sulfate salt of organic base -> free base (aminoglycoside antibiotic, consistent with the established Streptomycin/Paromomycin/Gentamicin sulfate precedents)",high,
25545895,Ammonium 1-naphthaleneacetate;Ammonium (naphthalen-1-yl)acetate,86-87-3,86873,1-Naphthaleneacetic acid (NAA),ammonium salt -> NAA acid parent (plant growth regulator salt convention),high,
25606411,Propamocarb hydrochloride;Propyl [3-(dimethylamino)propyl]carbamate--hydrogen chloride (1/1),24579-73-5,24579735,Propamocarb,HCl salt of organic base -> free base (registered carbamate fungicide active ingredient),high,
25646713,"Methanesulfonamide, N-[2-[(4-amino-3-methylphenyl)ethylamino]ethyl]-, sulfate (2:3);Sulfuric acid--N-{2-[(4-amino-3-methylphenyl)(ethyl)amino]ethyl}methanesulfonamide (3/2)",NA,NA,N-{2-[(4-amino-3-methylphenyl)(ethyl)amino]ethyl}methanesulfonamide (free base; photographic colour-developer intermediate),"sulfate salt of organic base -> free base (consistent with the established sulfate/HCl-salt-of-organic-base convention; structurally a photographic colour-developer intermediate, cf. Part 1's N4,N4-Diethyl-2-methylbenzene-1,4-diamine precedent)",medium,Free-base CAS not confidently verified from memory; recommend confirming before use.
25646779,"Ethanol, 2-((4-amino-3-methylphenyl)ethylamino)-, sulfate (1:1) (salt)",NA,NA,2-[(4-Amino-3-methylphenyl)(ethyl)amino]ethanol (free base; photographic colour-developer intermediate),sulfate salt of organic base -> free base (consistent with the established sulfate-salt-of-organic-base convention),medium,Free-base CAS not confidently verified from memory; recommend confirming before use. Structurally closely related to the preceding entry (CAS 25646713) in this batch.
26062793,"2-Propen-1-aminium, N,N-dimethyl-N-2-propenyl-, chloride, homopolymer",26062-79-3,26062793,Poly(diallyldimethylammonium chloride) (polyDADMAC),"direct - no simpler parent: homopolymer of a quaternary ammonium monomer (polyDADMAC); a defined macromolecular substance, not a mixture, and the monomer itself (Dimethyldiallylammonium chloride) is already treated as a permanently-charged quaternary salt with no simpler parent",high,
26155317,"Morantel tartrate;(2R,3S)-2,3-Dihydroxybutanedioic acid--1-methyl-2-[(E)-2-(3-methylthiophen-2-yl)ethenyl]-1,4,5,6-tetrahydropyrimidine (1/1)",20574-50-9,20574509,Morantel,"tartrate salt of organic base -> free base (registered veterinary anthelmintic active ingredient, tetrahydropyrimidine class, consistent with the established HCl/sulfate-salt-of-organic-base convention)",medium,Free-base CAS recalled from memory; recommend confirming before use.
26544207,MCPA-isooctyl;6-Methylheptyl (4-chloro-2-methylphenoxy)acetate,94-74-6,94746,MCPA,6-methylheptyl (isooctyl) ester -> MCPA acid parent (phenoxy herbicide ester convention),high,
26569539,TRIS(NONYLPHENYL)PHOSPHATE,26569-53-9,26569539,Tris(nonylphenyl) phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
26967760,Tris(isopropylphenyl) phosphate,26967-76-0,26967760,Tris(isopropylphenyl) phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
27046191,"2-[Bis(2-chloroethyl)amino]tetrahydro-4H-1,3,2-oxazaphosphorin-4-one 2-oxide",27046-19-1,27046191,"2-[Bis(2-chloroethyl)amino]tetrahydro-4H-1,3,2-oxazaphosphorin-4-one 2-oxide","direct - no simpler parent: oxazaphosphorinane nitrogen-mustard alkylating agent (same structural class as Cyclophosphamide); the 2-oxide is the intrinsic ring P=O, not a separable salt, consistent with the established Cyclophosphamide precedent",medium,
27200904,"Didodecyldiethylammonium, Bromide",27200-90-4,27200904,Didodecyldiethylammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
27668526,"N,N-Dimethyl-N-(3-(trimethoxysilyl)propyl) octadecan-1-aminium chloride;N,N-Dimethyl-N-[3-(trimethoxysilyl)propyl]octadecan-1-aminium chloride",27668-52-6,27668526,Octadecyldimethyl(3-trimethoxysilylpropyl)ammonium chloride,direct - no simpler parent: quaternary ammonium salt (silane-functionalized antimicrobial),high,
28001583,"Phenyltrimethylammonium methosulfate;N,N,N-Trimethylanilinium methyl sulfate",28001-58-3,28001583,Phenyltrimethylammonium methosulfate,direct - no simpler parent: quaternary ammonium salt,high,
28108998,Isopropyl phenyl diphenyl phosphate,28108-99-8,28108998,Isopropyl phenyl diphenyl phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
28300745,"Antimony potassium tartrate trihydrate;Antimony(3+) potassium (2R,3R)-2,3-dioxidobutanedioate--water (2/2/2/3)",7440-36-0,7440360,Antimony,antimony potassium tartrate (trihydrate) -> Sb element (same reasoning as the anhydrous form earlier in this batch),medium,Same convention flag as the anhydrous Antimony potassium tartrate entry earlier in this batch (CAS 11071151).
28777700,"(1,1-Dimethylethyl)phenol 1,1',1''-phosphate",28777-70-0,28777700,Tris(tert-butylphenyl) phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
29235710,"4-Morpholinepropanamide, N-(4-hydroxyphenyl)-, monohydrochloride;N-(4-Hydroxyphenyl)-3-(morpholin-4-yl)propanamide--hydrogen chloride (1/1)",NA,NA,N-(4-Hydroxyphenyl)-3-(morpholin-4-yl)propanamide (free base),HCl salt of organic base -> free base,medium,Free-base CAS not confidently verified from memory; recommend confirming before use.
29450451,MCPA-2-ethylhexyl;2-Ethylhexyl (4-chloro-2-methylphenoxy)acetate,94-74-6,94746,MCPA,2-ethylhexyl ester -> MCPA acid parent (phenoxy herbicide ester convention),high,
29761215,Isodecyl diphenyl phosphate,29761-21-5,29761215,Isodecyl diphenyl phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
30381987,"Ammonium bis(N-ethyl-2-perfluorooctylsulfonaminoethyl)phosphate;Ammonium bis{2-[ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonyl)amino]ethyl} phosphate",30381-98-7,30381987,Ammonium bis(N-ethyl-2-perfluorooctylsulfonaminoethyl)phosphate,"direct - no simpler parent: PFAS-class organophosphate diester (sulfonamido-phosphate); ammonium is the spectator counterion, consistent with the established Bis(heptadecafluorodecyl) hydrogen phosphate precedent (PFAS phosphate esters not collapsed to phosphoric acid)",high,
31512740,"Poly[oxy-1,2-ethanediyl(dimethyliminio)-1,2-ethanediyl(dimethyliminio)-1,2-ethanediyl chloride (1:2)]",31512-74-0,31512740,"Poly[oxy-1,2-ethanediyl(dimethyliminio)-1,2-ethanediyl(dimethyliminio)-1,2-ethanediyl chloride] (polyquaternium-type polymer)","direct - no simpler parent: polyquaternary ammonium polymer; a defined macromolecular substance with permanently-charged repeat units, not a mixture, consistent with both the polymer-stays-direct and quaternary-ammonium-stays-direct conventions",high,
31677937,Bupropion hydrochloride;2-(tert-Butylamino)-1-(3-chlorophenyl)propan-1-one--hydrogen chloride (1/1),34911-55-5,34911555,Bupropion,HCl salt of organic base -> free base,high,
32426112,"N,N-Dimethyl-N-octyldecan-1-aminium chloride",32426-11-2,32426112,"N,N-Dimethyl-N-octyldecan-1-aminium chloride",direct - no simpler parent: quaternary ammonium salt,high,
34010214,(Z)-11-Hexadecenyl acetate;(11Z)-Hexadec-11-en-1-yl acetate,34010-21-4,34010214,(11Z)-Hexadec-11-en-1-yl acetate,"direct - no simpler parent: simple ester, insect pheromone component",high,
34364426,".alpha.,.alpha.-Dimethylbenzylphenyl diphenyl phosphate",34364-42-6,34364426,"alpha,alpha-Dimethylbenzylphenyl diphenyl phosphate","direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
34381685,Acebutolol hydrochloride;N-(3-Acetyl-4-{2-hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)butanamide--hydrogen chloride (1/1),37517-30-2,37517302,Acebutolol,HCl salt of organic base -> free base (beta blocker),high,
34911461,2-(4-Hydroxyphenyl)glyoxylohydroximoyl chloride;(1Z)-N-Hydroxy-2-(4-hydroxyphenyl)-2-oxoethanimidoyl chloride,34911-46-1,34911461,2-(4-Hydroxyphenyl)glyoxylohydroximoyl chloride,"direct - no simpler parent: reactive hydroximoyl chloride (covalent C-Cl bond, analogous to acid-chloride reagents like Benzoyl chloride/Acetyl chloride), distinct synthesis intermediate",high,
35948255,"6H-Dibenz[c,e][1,2]oxaphosphorin, 6-Oxide",35948-25-5,35948255,"DOPO (9,10-dihydro-9-oxa-10-phosphaphenanthrene-10-oxide)","direct - no simpler parent: cyclic phosphine oxide flame retardant (DOPO); the oxide is intrinsic to this distinct compound's structure, consistent with the established Triphenylphosphine oxide precedent",high,
36362091,2-(Decylthio)ethanamine hydrochloride;2-(Decylsulfanyl)ethan-1-amine--hydrogen chloride (1/1),NA,NA,2-(Decylthio)ethanamine (free base),HCl salt of organic base -> free base,medium,Free-base CAS not confidently verified from memory; recommend confirming before use.
36761838,"N-(2-Chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide",36761-83-8,36761838,"N-(2-Chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide","direct - no simpler parent: oxazaphosphorinane nitrogen-mustard-class alkylating agent precursor; the 2-oxide is intrinsic to the ring P=O, not a separable salt, consistent with the established Cyclophosphamide precedent",medium,
37222665,Potassium peroxymonosulfate sulfate,37222-66-5,37222665,"Potassium peroxymonosulfate (Oxone, triple salt)","direct - no simpler parent: distinct registered oxidizing-agent/disinfectant product (potassium peroxymonosulfate triple salt, 'Oxone'), not a simple single-cation salt",high,
37287164,Aluminum oxide (Al2O3) mixt. with silica,NA,NA,NA,MIXTURE OR PSEUDO-CAS - cannot resolve,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
38638050,Diphenyl nonylphenyl phosphate; Nonylphenyl diphenyl phosphate,38638-05-0,38638050,Nonylphenyl diphenyl phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
39456514,"2,2-Dichloropropanoic acid mixt. with Sodium(4-chlor-2-methylphenoxy)acetate",NA,NA,NA,"MIXTURE OR PSEUDO-CAS - cannot resolve: ""mixt. with"" notation joining two distinct herbicide-acid components",high,
41591871,"1-Tetradecanaminium, N,N-dimethyl-N-[3-(trimethoxysilyl)propyl]-, chloride;N,N-Dimethyl-N-[3-(trimethoxysilyl)propyl]tetradecan-1-aminium chloride",41591-87-1,41591871,"N,N-Dimethyl-N-[3-(trimethoxysilyl)propyl]tetradecan-1-aminium chloride",direct - no simpler parent: quaternary ammonium salt (silane-functionalized antimicrobial),high,
42399417,"(+)-Diltiazem;(2S,3S)-5-[2-(Dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydro-1,5-benzothiazepin-3-yl acetate",42399-41-7,42399417,(+)-Diltiazem,"direct - no simpler parent: registered pharmaceutical active ingredient (calcium-channel blocker); the acetate ester is intrinsic to Diltiazem's own structure, not a separable salt form",high,
43222486,"Difenzoquat metilsulfate;1,2-Dimethyl-3,5-diphenyl-1H-pyrazol-2-ium methyl sulfate",43222-48-6,43222486,Difenzoquat methylsulfate,"direct - no simpler parent: quaternary pyrazolium herbicide salt (registered active ingredient), cation permanently charged; methyl sulfate is the counterion",high,
50328488,"N-Ethyl-N,N-dimethylbenzenemethanaminium bromide (1:1)",50328-48-8,50328488,"N-Ethyl-N,N-dimethylbenzylammonium bromide",direct - no simpler parent: quaternary ammonium salt,high,
51590671,Monobutyltin oxide;Butylstannanone,51590-67-1,51590671,Monobutyltin oxide,"direct - no simpler parent: organotin compound, no established simpler reference congener (consistent with the general organotin-stays-direct convention)",high,
51811791,Polyethylene glycol monononylphenyl ether phosphate,51811-79-1,51811791,Polyethylene glycol monononylphenyl ether phosphate,direct - no simpler parent: phosphate ester surfactant (consistent with the alkyl/aryl ether phosphate/sulfate surfactant convention),high,
52769876,"[kappaS,kappaS']-[2-[(dithiocarboxy)amino]ethyl]carbamodithioato(2-)manganese mixt. with copper chloride oxide hydrate",NA,NA,NA,"MIXTURE OR PSEUDO-CAS - cannot resolve: ""mixt. with"" notation joining a manganese dithiocarbamate fungicide component with a copper chloride oxide hydrate component",high,
